Id	Word	Percentage Known	Prevalence	N	Length	Coltheart's N	OLD20	Relative Frequency	Zipf	Relative Contextual Diversity	Logarithm Contextual Diversity
31985	que	0.98	1.97	410	3	9	1.20	33147.32	7.52	994426.02	6.00
10805	de	0.99	2.25	413	2	30	1.00	32360.25	7.51	994687.49	6.00
22816	la	0.98	1.96	444	2	31	1.00	27665.58	7.44	993463.35	6.00
27042	no	1.00	2.44	429	2	26	1.00	22471.00	7.35	985215.29	5.99
13291	el	0.96	1.74	438	2	28	1.00	21316.32	7.33	992952.31	6.00
39069	un	0.98	2.03	427	2	22	1.00	12718.59	7.10	990195.03	6.00
13791	en	0.97	1.88	435	2	25	1.00	11240.71	7.05	981447.81	5.99
29280	per	0.98	2.03	427	3	22	1.00	10851.64	7.04	982374.82	5.99
13392	els	0.99	2.18	404	3	16	1.00	8804.61	6.95	972902.63	5.99
20607	hi	0.86	1.07	413	2	24	1.00	7382.60	6.87	964571.37	5.98
23066	les	0.97	1.81	423	3	28	1.00	7322.64	6.87	969384.72	5.99
1754	amb	1.00	2.44	412	3	11	1.15	7315.56	6.86	974661.58	5.99
20821	ho	0.95	1.60	395	2	23	1.00	6618.94	6.82	937985.05	5.97
11048	del	0.93	1.46	402	3	24	1.00	6235.20	6.80	962337.03	5.98
31986	què	0.99	2.12	416	3	4	1.80	5872.87	6.77	906121.87	5.96
29482	però	1.00	2.58	421	4	9	1.45	5786.45	6.76	956252.01	5.98
39243	va	0.99	2.25	414	2	24	1.00	5684.02	6.76	919765.63	5.96
1190	al	0.90	1.24	424	2	28	1.00	5337.14	6.73	966270.90	5.99
14930	es	0.96	1.65	403	2	30	1.00	5324.69	6.73	954992.22	5.98
25325	més	1.00	2.58	414	3	7	1.40	5319.94	6.73	964155.41	5.98
8770	com	1.00	2.43	396	3	28	1.00	5298.89	6.72	963050.12	5.98
35537	sí	0.97	1.87	422	2	21	1.00	4940.32	6.69	866735.60	5.94
25994	molt	1.00	2.58	438	4	20	1.00	4926.83	6.69	951937.82	5.98
22533	ja	0.99	2.16	388	2	21	1.00	4640.88	6.67	941086.99	5.97
35536	si	0.99	2.18	413	2	37	1.00	4619.18	6.67	939161.65	5.97
1158	això	1.00	2.58	424	4	6	1.60	4205.39	6.62	933872.90	5.97
13401	em	0.92	1.40	422	2	28	1.00	4162.67	6.62	831722.94	5.92
17501	fer	1.00	2.44	414	3	19	1.00	3447.07	6.54	936844.11	5.97
22609	jo	1.00	2.58	415	2	19	1.00	3423.42	6.53	842538.12	5.93
4647	bé	1.00	2.44	434	2	9	1.50	3311.18	6.52	892846.53	5.95
2730	aquí	0.99	2.14	443	4	1	1.50	3208.85	6.51	923200.34	5.97
20416	he	0.92	1.35	405	2	23	1.00	3200.95	6.51	828716.08	5.92
2746	ara	1.00	2.58	420	3	31	1.00	3188.63	6.50	932102.07	5.97
38111	tot	1.00	2.44	423	3	31	1.00	2892.93	6.46	927264.95	5.97
2729	aquest	1.00	2.58	421	6	0	1.80	2836.09	6.45	926801.44	5.97
29511	perquè	1.00	2.34	434	6	0	2.00	2765.46	6.44	893357.58	5.95
16511	et	0.67	0.43	411	2	26	1.00	2754.52	6.44	772429.61	5.89
38846	tu	0.98	1.90	422	2	28	1.00	2745.72	6.44	751654.96	5.88
35013	se	0.82	0.89	417	2	36	1.00	2711.33	6.43	909104.96	5.96
14434	ens	0.98	1.91	426	3	13	1.00	2684.05	6.43	892299.83	5.95
23105	li	0.78	0.77	416	2	30	1.00	2661.73	6.43	867317.95	5.94
35369	ser	0.99	2.25	414	3	23	1.00	2189.02	6.34	886226.69	5.95
31942	quan	1.00	2.43	400	4	9	1.45	2175.40	6.34	880700.25	5.95
25034	me	0.70	0.51	420	2	29	1.00	2165.20	6.34	780202.28	5.89
17009	fa	0.98	2.06	398	2	28	1.00	2116.43	6.33	892656.37	5.95
6840	cap	1.00	2.58	468	3	27	1.00	2019.89	6.31	870419.89	5.94
12470	dir	0.99	2.07	412	3	20	1.00	1981.83	6.30	821466.35	5.92
36879	també	1.00	2.44	429	5	0	2.00	1910.34	6.28	881876.85	5.95
