Id	Word	Percentage Known	Prevalence	N	Length	Coltheart's N	OLD20	Relative Frequency	Zipf	Relative Contextual Diversity	Logarithm Contextual Diversity
1	àbac	0.91	1.33	423	4	2	1.75	0.60	2.78	1271.68	3.11
2	abacà	0.23	-0.73	405	5	3	1.85	0.05	1.67	47.54	1.69
3	abacial	0.27	-0.60	417	7	0	2.30	0.10	2.02	273.35	2.44
4	abadal	0.68	0.46	412	6	1	1.95	0.78	2.89	1283.56	3.11
5	abadejo	0.39	-0.29	440	7	0	2.70	0.21	2.33	320.89	2.51
6	abadessa	0.98	1.95	433	8	0	2.95	0.62	2.79	713.09	2.85
7	abadia	0.95	1.59	429	6	1	1.80	2.70	3.43	4373.61	3.64
8	abadiat	0.37	-0.34	424	7	0	2.05	0.01	0.86	23.77	1.39
9	abaixador	0.85	1.00	421	9	0	2.30	0.01	0.86	23.77	1.39
10	abaixar	0.94	1.51	411	7	2	1.70	9.99	4.00	28024.39	4.45
11	abaixat	0.90	1.23	410	7	1	1.75	2.57	3.41	7701.36	3.89
12	abalançament	0.75	0.67	437	12	0	3.25	0.01	0.86	23.77	1.39
13	abalisament	0.57	0.19	454	11	0	2.85	0.00	0.56	11.89	1.11
14	abalisar	0.49	-0.04	420	8	1	2.45	0.02	1.25	35.65	1.56
15	abalit	0.40	-0.26	420	6	2	1.90	0.01	1.03	11.89	1.11
16	abaltir	0.48	-0.04	442	7	1	1.95	0.03	1.40	71.31	1.86
17	abanderament	0.90	1.27	408	12	0	3.15	0.00	0.56	11.89	1.11
18	abanderar	0.94	1.48	416	9	1	2.30	0.08	1.92	261.47	2.42
19	abandó	0.88	1.16	429	6	0	1.95	1.36	3.13	4064.61	3.61
20	abandonament	0.98	2.01	408	12	0	2.60	1.80	3.25	5098.59	3.71
21	abandonar	0.98	2.01	398	9	1	1.75	33.66	4.53	86747.25	4.94
22	abandonat	0.99	2.33	396	9	1	1.80	19.30	4.29	53184.54	4.73
23	abans	0.99	2.17	398	5	4	1.70	750.33	5.88	725401.41	5.86
24	abaratiment	0.97	1.87	384	11	0	2.80	0.29	2.46	903.25	2.96
25	abaratir	0.97	1.82	401	8	4	1.75	0.99	2.99	2757.28	3.44
26	abaritonat	0.55	0.13	397	10	0	3.15	0.01	0.86	11.89	1.11
27	abarloar	0.23	-0.72	408	8	0	2.95	0.01	1.16	35.65	1.56
28	abarnegat	0.18	-0.90	423	9	0	2.80	0.01	1.03	23.77	1.39
29	abarrotar	0.69	0.49	430	9	2	1.95	0.02	1.25	59.42	1.78
30	abarset	0.09	-1.29	412	7	0	2.45	0.00	0.56	11.89	1.11
31	abarta	0.12	-1.15	399	6	4	1.80	0.01	0.86	11.89	1.11
32	abartrell	0.20	-0.84	408	9	0	3.00	0.00	0.56	11.89	1.11
33	abassegador	0.74	0.64	426	11	0	3.20	0.03	1.46	95.08	1.98
34	abassegar	0.72	0.58	411	9	1	2.65	0.00	0.56	11.89	1.11
35	abast	1.00	2.33	410	5	0	1.70	23.49	4.37	64261.18	4.81
36	abastable	0.87	1.10	437	9	0	2.65	0.03	1.46	95.08	1.98
37	abastament	0.94	1.53	427	10	1	1.95	0.66	2.82	1675.76	3.22
38	abastar	0.93	1.42	393	7	2	1.75	0.79	2.90	2483.93	3.40
39	abastiment	0.97	1.80	412	10	1	2.20	0.40	2.60	1176.60	3.07
40	abastir	0.95	1.64	416	7	7	1.50	0.98	2.99	2923.66	3.47
41	abat	0.93	1.47	395	4	4	1.40	3.65	3.56	5514.55	3.74
42	abatedor	0.63	0.32	420	8	0	2.70	0.01	0.86	23.77	1.39
43	abatible	0.96	1.72	415	8	0	2.55	0.05	1.67	118.85	2.08
44	abatiment	0.95	1.59	424	9	0	2.15	0.26	2.41	784.40	2.90
45	abatoll	0.36	-0.35	397	7	0	2.50	0.02	1.25	23.77	1.39
46	abatre	0.97	1.88	394	6	2	1.75	2.72	3.43	6738.69	3.83
47	abatussat	0.64	0.37	410	9	0	2.90	0.01	1.03	23.77	1.39
48	abbàssida	0.27	-0.61	423	9	0	3.85	0.02	1.25	47.54	1.69
49	abdicació	1.00	2.35	446	9	0	2.50	1.68	3.23	1960.99	3.29
50	abdicant	0.97	1.77	440	8	0	2.10	0.01	1.16	47.54	1.69
51	abdicar	0.99	2.14	436	7	1	1.75	0.90	2.96	2020.42	3.31
52	abdomen	0.99	2.20	440	7	0	2.50	3.41	3.53	7119.00	3.85
53	abdominal	0.99	2.17	400	9	0	2.80	2.41	3.38	4005.18	3.60
54	abducció	1.00	2.58	396	8	1	2.35	0.32	2.50	736.86	2.87
55	abductor	0.99	2.07	417	8	1	2.35	0.23	2.37	677.43	2.83
56	abduir	0.97	1.80	444	6	1	1.95	0.21	2.33	558.59	2.75
57	abecé	0.72	0.58	436	5	0	2.00	0.09	1.97	213.93	2.33
58	abecedari	0.98	1.92	438	9	0	3.75	0.66	2.82	1616.33	3.21
59	abell	0.25	-0.67	421	5	5	1.45	0.01	0.86	11.89	1.11
60	abella	0.98	2.01	404	6	6	1.35	11.31	4.05	14547.01	4.16
61	abellaire	0.69	0.49	414	9	0	2.65	0.01	1.03	23.77	1.39
62	abellar	0.63	0.33	418	7	5	1.70	0.01	1.16	23.77	1.39
63	abeller	0.71	0.54	435	7	4	1.70	0.05	1.73	83.19	1.93
64	abellera	0.59	0.23	398	8	1	1.80	0.09	1.95	154.50	2.19
65	abellerol	0.57	0.17	393	9	0	2.70	0.16	2.20	427.85	2.63
66	abellir	0.58	0.20	393	7	5	1.75	0.04	1.63	71.31	1.86
67	abellot	0.95	1.56	439	7	1	1.80	0.36	2.56	522.93	2.72
68	abentèric	0.13	-1.10	399	9	0	3.55	0.00	0.56	11.89	1.11
69	aberració	0.98	2.02	420	9	0	2.90	0.73	2.87	2210.58	3.35
70	aberrant	0.96	1.73	400	8	3	1.80	0.27	2.42	820.05	2.91
71	abeurada	0.80	0.81	410	8	0	1.95	0.04	1.63	59.42	1.78
72	abeurador	0.90	1.27	398	9	0	2.45	0.98	2.99	2044.19	3.31
73	abeurall	0.56	0.14	396	8	0	2.65	0.01	0.86	11.89	1.11
74	abeurament	0.79	0.80	442	10	0	2.65	0.01	1.03	35.65	1.56
75	abeurar	0.83	0.95	426	7	2	1.80	0.29	2.46	927.02	2.97
76	abeuratge	0.81	0.87	383	9	0	2.75	0.01	1.03	35.65	1.56
77	abillament	0.53	0.07	405	10	1	2.60	0.03	1.40	83.19	1.93
78	abillar	0.52	0.05	401	7	3	1.75	0.04	1.56	95.08	1.98
79	abiòtic	0.54	0.09	421	7	0	2.35	0.00	0.56	11.89	1.11
80	abís	0.30	-0.52	425	4	5	1.70	0.03	1.40	59.42	1.78
81	abismal	0.95	1.64	432	7	1	2.35	0.62	2.79	1818.38	3.26
82	abisme	0.99	2.26	429	6	2	1.85	3.50	3.54	9032.46	3.96
83	abissal	0.62	0.31	418	7	1	2.40	0.18	2.26	344.66	2.54
84	abissini	0.55	0.13	420	8	0	2.80	0.02	1.25	47.54	1.69
85	abjecció	0.75	0.68	438	8	1	2.55	0.01	1.16	47.54	1.69
86	abjecte	0.61	0.28	429	7	2	2.30	0.12	2.06	356.54	2.55
87	abjuració	0.69	0.49	423	9	1	2.75	0.01	1.03	35.65	1.56
88	abjurar	0.67	0.42	424	7	2	1.80	0.06	1.76	166.39	2.22
89	ablació	0.90	1.24	455	7	1	1.95	0.47	2.67	748.74	2.88
90	ablamar	0.26	-0.65	411	7	1	1.90	0.01	0.86	11.89	1.11
91	ablanidor	0.55	0.12	388	9	0	2.75	0.00	0.56	11.89	1.11
92	ablaniment	0.54	0.11	412	10	0	2.75	0.00	0.56	11.89	1.11
93	ablanir	0.62	0.31	429	7	2	1.90	0.01	1.16	47.54	1.69
94	ablatiu	0.70	0.51	418	7	1	2.15	0.02	1.33	47.54	1.69
95	ablució	0.59	0.23	420	7	1	2.45	0.03	1.40	71.31	1.86
96	abluent	0.15	-1.04	412	7	1	2.50	0.01	1.03	23.77	1.39
97	abnegació	0.97	1.84	427	9	0	2.80	0.16	2.21	499.16	2.70
98	abnegat	0.96	1.67	398	7	0	1.90	0.15	2.18	487.28	2.69
99	abocada	0.89	1.19	415	7	4	1.75	0.66	2.82	2139.27	3.33
100	abocador	0.99	2.18	407	8	0	2.00	5.18	3.71	10030.78	4.00
101	abocament	0.99	2.07	415	9	1	2.20	0.48	2.68	1224.14	3.09
102	abocar	0.99	2.27	450	6	5	1.60	4.87	3.69	13667.53	4.14
103	abocat	0.77	0.72	428	6	5	1.55	2.53	3.40	7772.67	3.89
